source_language,source_text,translated_text
"eng_Latn","advent calendar","降临节日历"
"eng_Latn","advent calendar 2025","2025年圣诞倒数日历"
"eng_Latn","advent calendar beauty","圣诞日历美妆"
"eng_Latn","book advent calendar","书籍倒数日历"
"eng_Latn","advent calendar kids","儿童倒数日历"
"eng_Latn","advent calendar lego","乐高圣诞倒数日历"
"eng_Latn","lego advent calendar","乐高圣诞倒数日历"
"eng_Latn","lego flower advent calendar","乐高花朵倒数日历"
"eng_Latn","advent calendar 2025 beauty","2025年美妆日历"
"eng_Latn","advent calendar men","男士圣诞倒数日历"
"eng_Latn","advent calendar book","倒计时日历书"
"eng_Latn","stranger things advent calendar","《怪奇物语》圣诞倒数日历"
"eng_Latn","coffee advent calendar","咖啡日历"
"eng_Latn","perfume advent calendar","香水日历礼盒"
"eng_Latn","guitar pick advent calendar","吉他拨片圣诞倒数日历"
"eng_Latn","advent calendar 2025 kids","2025年儿童降临日历"
"eng_Latn","fishing advent calendar","钓鱼降临日历"
"eng_Latn","beauty advent calendar","美妆日历"
"eng_Latn","advent calendar star wars","《星球大战》主题的倒数日历"
"eng_Latn","lego advent calendar 2025","乐高2025年圣诞倒数日历"
"eng_Latn","beer advent calendar","啤酒倒数日历"
"eng_Latn","advent calendar chocolate","圣诞倒数日历巧克力"
"eng_Latn","jewelry advent calendar","珠宝主题的倒数日历"
"eng_Latn","makeup advent calendar","彩妆日历"
"eng_Latn","advent calendar women","女性圣诞倒数日历"
"eng_Latn","chocolate advent calendar","巧克力倒数日历"
"eng_Latn","advent calendar for men","男士圣诞倒数日历"
"eng_Latn","tea advent calendar","茶礼盒日历"
"eng_Latn","advent calendar harry potter","哈利波特主题的倒数日历"
"eng_Latn","advent calendar man","圣诞倒数日历男"
"eng_Latn","advent calendar tea","圣诞倒数日历茶"
"eng_Latn","hot wheels advent calendar","风火轮冒险日历"
"eng_Latn","marvel advent calendar","漫威降临日历"
"eng_Latn","huntrix advent calendar","huntrix 圣诞倒数日历"
"eng_Latn","dog advent calendar","狗狗主题的倒数日历"
"eng_Latn","gin advent calendar","杜松子酒圣诞倒数日历"
"eng_Latn","advent calendar 2025 chocolate","2025年巧克力圣诞倒数日历"
"eng_Latn","christmas advent calendar","圣诞降临日历"
"eng_Latn","harry potter advent calendar","哈利·波特主题的倒数日历"
"eng_Latn","advent calendar girls","圣诞日历女孩"
"eng_Latn","men advent calendar","男士圣诞倒数日历"
"eng_Latn","guitar advent calendar","吉他降临日历"
"eng_Latn","advent calendar makeup","圣诞倒数日历彩妆"
"eng_Latn","cat advent calendar","猫咪日历"
"eng_Latn","advent calendar perfume","香水日历"
"eng_Latn","redbull advent calendar","红牛历险日历"
"eng_Latn","wine advent calendar","葡萄酒倒数日历"
"eng_Latn","advent calendar for women","女士降临日历"
"eng_Latn","rituals advent calendar","仪式降临日历"
"eng_Latn","advent calendar boys","圣诞倒数日历男孩"
"eng_Latn","cheese advent calendar","奶酪日历"
"eng_Latn","advent calendar bags","圣诞倒数日历包"
"eng_Latn","advent calendar 2025 for men","2025年男士圣诞倒数日历"
"eng_Latn","legends of rock & metal advent calendar 2025","2025年摇滚与金属传奇人物降临日历"
"eng_Latn","advent calendar for man","男士圣诞倒数日历"
"eng_Latn","calendar advent","日历降临"
"eng_Latn","mens advent calendar 2025","2025年男士圣诞倒数日历"
"eng_Latn","crochet advent calendar","钩针编织的圣诞倒数日历"
"eng_Latn","advent calendar make up","圣诞倒数日历彩妆"
"eng_Latn","beer advent calendar 2025","2025年啤酒倒数日历"
"eng_Latn","advent calendar diy","DIY圣诞倒数日历"
"eng_Latn","boys advent calendar","男孩版圣诞倒数日历"
"eng_Latn","emotional support advent calendar","情感支持倒数日历"
"eng_Latn","advent calendar stranger things","《怪奇物语》降临日历"
"eng_Latn","kids advent calendar","儿童圣诞倒数日历"
"eng_Latn","stationery advent calendar","文具式圣诞倒数日历"
"eng_Latn","formula 1 advent calendar","F1赛车倒数日历"
"eng_Latn","studio ghibli advent calendar","吉卜力工作室圣诞倒数日历"
"eng_Latn","advent calendar cosmetics","日历式化妆品"
"eng_Latn","empty advent calendar","空白的圣诞倒数日历"
"eng_Latn","candle advent calendar","蜡烛式圣诞倒数日历"
"eng_Latn","f1 advent calendar","F1 倒计时日历"
"eng_Latn","minecraft advent calendar","《我的世界》圣诞倒数日历"
"eng_Latn","bosch advent calendar 2025","博世2025年圣诞倒数日历"
"eng_Latn","advent calendar minecraft","《我的世界》圣诞倒数日历"
"eng_Latn","advent calendar puzzle","圣诞倒数拼图"
"eng_Latn","nativity advent calendar","圣诞降临日历"
"eng_Latn","advent calendar adult","成人版圣诞倒数日历"
"eng_Latn","advent calendar jewelry","倒计时日历珠宝"
"eng_Latn","advent calendar playmobil","摩比世界（Playmobil）圣诞倒数日历"
"eng_Latn","tool advent calendar","工具日历"
"eng_Latn","dice advent calendar","骰子式圣诞倒数日历"
"eng_Latn","funko advent calendar","Funko Advent日历"
"eng_Latn","car advent calendar","汽车主题的日历"
"eng_Latn","lindt advent calendar","瑞士莲圣诞倒数日历"
"eng_Latn","revolution beauty makeup advent calendar 2025","2025年revolution beauty makeup advent日历"
"eng_Latn","sephora advent calendar","丝芙兰圣诞倒数日历"
"eng_Latn","advent calendar 2025 makeup","2025年化妆日历"
"eng_Latn","advent calendar for girls","女孩的圣诞倒数日历"
"eng_Latn","beauty advent calendar 2025","2025年美丽日历"
"eng_Latn","nutella advent calendar","能多益巧克力酱圣诞倒数日历"
"eng_Latn","toddler advent calendar","幼儿圣诞倒数日历"
"eng_Latn","advent calendar 2025 lego","2025年乐高圣诞倒数日历"
"eng_Latn","advent calendar 2025 men","2025年男士圣诞倒数日历"
"eng_Latn","advent calendar candy","圣诞倒数日历糖果"
"eng_Latn","calendar advent 2025","2025年降临日历"
"eng_Latn","erotic advent calendar","情色日历"
"eng_Latn","funko pop advent calendar","Funko Pop 圣诞倒数日历"
"eng_Latn","make up advent calendar","制作圣诞倒数日历"
"eng_Latn","pokemon advent calendar","宝可梦倒数日历"
"eng_Latn","advent calendar food","圣诞倒数日历食品"
"eng_Latn","advent calendar for kids","儿童降临日历"
"eng_Latn","advent calendar lindt","瑞士莲圣诞倒数日历"
"eng_Latn","unicorn advent calendar","独角兽主题的倒数日历"
"eng_Latn","advent calendar funko pop","降临日历Funko Pop"
"eng_Latn","advent calendar girl","圣诞倒数日历女孩"
"eng_Latn","bibliophile advent calendar","藏书家倒数日历"
